function,type,categories,name,specification,size,width,height,尺寸备注,Price,价格备注,imageMap ,颜色,生肖标签,星座标签,祝福愿望,风格类型,sku_id
珠子,水晶,黄水晶,柠檬黄黄水晶,10mm,10,10,10,,10,,柠檬黄黄水晶.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A261A3100
珠子,水晶,黄水晶,柠檬黄黄水晶,12mm,12,12,12,,20,,柠檬黄黄水晶.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A261A3101
珠子,水晶,黄水晶,巴西黄黄水晶,6mm,6,6,6,,6,,巴西黄黄水晶.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A261A3102
珠子,水晶,黄水晶,巴西黄黄水晶,8mm,8,8,8,,12,,巴西黄黄水晶.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A261A3103
珠子,水晶,黄水晶,巴西黄黄水晶,10mm,10,10,10,,18,,巴西黄黄水晶.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,A261A3104
珠子,水晶,粉水晶,星光马粉,6mm,6,6,6,,3,,星光马粉.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6105
珠子,水晶,粉水晶,星光马粉,8mm,8,8,8,,6,,星光马粉.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6106
珠子,水晶,粉水晶,星光马粉,10mm,10,10,10,,11,,星光马粉.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6107
珠子,水晶,粉水晶,星光马粉,12mm,12,12,12,,18,,星光马粉.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6108
珠子,水晶,粉水晶,冰种粉水晶,9mm,9,9,9,,10,,冰种粉水晶.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6109
珠子,水晶,粉水晶,冰种粉水晶,10mm,10,10,10,,15,,冰种粉水晶.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6110
珠子,水晶,粉水晶,冰种粉水晶,11mm,11,11,11,,18,,冰种粉水晶.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6111
珠子,水晶,粉水晶,冰种粉水晶,12mm,12,12,12,,25,,冰种粉水晶.png,粉,"蛇,马,兔","金牛,天秤",求桃花,少女甜美,A261A6112
珠子,水晶,茶水晶,茶水晶圆珠,6mm,6,6,6,,3,,茶水晶圆珠.png,棕,"猪,牛,龙,羊,狗",摩羯,"万事顺遂,睡个好觉",极简百搭,P2007S2231
珠子,水晶,茶水晶,茶水晶圆珠,8mm,8,8,8,,5,,茶水晶圆珠.png,棕,"猪,牛,龙,羊,狗",摩羯,"万事顺遂,睡个好觉",极简百搭,P2007S2232
珠子,水晶,茶水晶,茶水晶圆珠,10mm,10,10,10,,8,,茶水晶圆珠.png,棕,"猪,牛,龙,羊,狗",摩羯,"万事顺遂,睡个好觉",极简百搭,P2007S2233
珠子,水晶,茶水晶,茶水晶圆珠,12mm,12,12,12,,13,,茶水晶圆珠.png,棕,"猪,牛,龙,羊,狗",摩羯,"万事顺遂,睡个好觉",极简百搭,P2007S2234
珠子,水晶,绿幽灵,满天星绿幽灵,8mm,8,8,8,,10,,满天星绿幽灵.png,绿,"虎,兔,猪","金牛,水瓶","发大财,升职加薪",自然森系,A261B3113
珠子,水晶,绿幽灵,满天星绿幽灵,10mm,9,9,9,,25,,满天星绿幽灵.png,绿,"虎,兔,猪","金牛,水瓶","发大财,升职加薪",自然森系,A261B3114
珠子,水晶,绿幽灵,满天星绿幽灵,12mm,10,10,10,,40,,满天星绿幽灵.png,绿,"虎,兔,猪","金牛,水瓶","发大财,升职加薪",自然森系,A261B3115
珠子,水晶,草莓晶,豆沙红草莓晶,8mm,8,8,8,,2,,豆沙红草莓晶.png,粉,"蛇,马","白羊,天蝎",求桃花,少女甜美,A261A6116
珠子,水晶,草莓晶,豆沙红草莓晶,10mm,10,10,10,,4,,豆沙红草莓晶.png,粉,"蛇,马","白羊,天蝎",求桃花,少女甜美,A261A6117
珠子,水晶,草莓晶,豆沙红草莓晶,12mm,12,12,12,,6,,豆沙红草莓晶.png,粉,"蛇,马","白羊,天蝎",求桃花,少女甜美,A261A6118
珠子,水晶,草莓晶,鸽血红草莓晶,8mm,8,8,8,,6,,鸽血红草莓晶.png,红,"蛇,马","白羊,天蝎",求桃花,少女甜美,A261A6119
珠子,水晶,草莓晶,鸽血红草莓晶,10mm,10,10,10,,10,,鸽血红草莓晶.png,红,"蛇,马","白羊,天蝎",求桃花,少女甜美,A261A6120
珠子,水晶,草莓晶,鸽血红草莓晶,12mm,12,12,12,,16,,鸽血红草莓晶.png,红,"蛇,马","白羊,天蝎",求桃花,少女甜美,A261A6121
珠子,水晶,阿赛,白阿赛,8mm,8,8,8,,3,,白阿赛.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,A2405S2060
珠子,水晶,阿赛,白阿赛,10mm,10,10,10,,6,,白阿赛.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,A2405S2062
珠子,水晶,阿赛,白阿赛,12mm,12,12,12,,9,,白阿赛.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,A261S2122
珠子,水晶,阿赛,黄阿赛,8mm,8,8,8,,6,,黄阿赛.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",自然森系,A2405S2064
珠子,水晶,阿赛,黄阿赛,10mm,10,10,10,,12,,黄阿赛.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",自然森系,A261S2123
珠子,水晶,阿赛,黄阿赛,12mm,12,12,12,,18,,黄阿赛.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",自然森系,A261S2124
珠子,水晶,兔毛晶,多宝兔毛晶,8mm,8,8,8,,15,,多宝兔毛晶.png,白,通用,"巨蟹,双鱼","澄心净念,万事顺遂",能量疗愈,A2405S2048
珠子,玛瑙,红玛瑙,红玛瑙圆珠,6mm,6,6,6,,1,,红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,体健安泰,国风禅意,ST2004004
珠子,玛瑙,红玛瑙,红玛瑙圆珠,8mm,8,8,8,,2,,红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,体健安泰,国风禅意,ST2004172
珠子,玛瑙,红玛瑙,红玛瑙圆珠,10mm,10,10,10,,3,,红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,体健安泰,国风禅意,ST2004006
珠子,玛瑙,红玛瑙,红玛瑙圆珠,12mm,12,12,12,,4,,红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,体健安泰,国风禅意,ST2004170
珠子,玛瑙,红玛瑙,红玛瑙圆珠,14mm,14,14,14,,6,,红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,体健安泰,国风禅意,ST2004171
珠子,玛瑙,红玛瑙,红玛瑙圆珠,16mm,16,16,16,,8,,红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,体健安泰,国风禅意,ST2004281
珠子,玛瑙,红玛瑙,红玛瑙圆珠,18mm,18,18,18,,10,,红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,体健安泰,国风禅意,ST2004005
珠子,玛瑙,白玛瑙,白玛瑙圆珠,6mm,6,6,6,,1,,白玛瑙圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,P2007S1243
珠子,玛瑙,白玛瑙,白玛瑙圆珠,8mm,8,8,8,,2,,白玛瑙圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,P2007S1244
珠子,玛瑙,白玛瑙,白玛瑙圆珠,10mm,10,10,10,,3,,白玛瑙圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,P2007S1245
珠子,玛瑙,白玛瑙,白玛瑙圆珠,12mm,12,12,12,,4,,白玛瑙圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,P2007S1246
珠子,玛瑙,白玛瑙,白玛瑙圆珠,14mm,14,14,14,,6,,白玛瑙圆珠.png,白,通用,通用,"澄心净念,金榜题名",极简百搭,P2007S1247
珠子,玛瑙,绿玛瑙,绿玛瑙圆珠,6mm,6,6,6,,1,,绿玛瑙圆珠.png,绿,"虎,兔","金牛,水瓶","万事顺遂,睡个好觉",自然森系,ST2004182
珠子,玛瑙,绿玛瑙,绿玛瑙圆珠,8mm,8,8,8,,2,,绿玛瑙圆珠.png,绿,"虎,兔","金牛,水瓶","万事顺遂,睡个好觉",自然森系,ST2004181
珠子,玛瑙,绿玛瑙,绿玛瑙圆珠,10mm,10,10,10,,3,,绿玛瑙圆珠.png,绿,"虎,兔","金牛,水瓶","万事顺遂,睡个好觉",自然森系,ST2004180
珠子,玛瑙,绿玛瑙,绿玛瑙圆珠,12mm,12,12,12,,4,,绿玛瑙圆珠.png,绿,"虎,兔","金牛,水瓶","万事顺遂,睡个好觉",自然森系,ST2004183
珠子,玛瑙,绿玛瑙,绿玛瑙圆珠,14mm,14,14,14,,6,,绿玛瑙圆珠.png,绿,"虎,兔","金牛,水瓶","万事顺遂,睡个好觉",自然森系,ST2004177
珠子,玛瑙,黄玛瑙,黄玛瑙圆珠,6mm,6,6,6,,1,,黄玛瑙圆珠.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,ST2004207
珠子,玛瑙,黄玛瑙,黄玛瑙圆珠,8mm,8,8,8,,2,,黄玛瑙圆珠.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,ST2004206
珠子,玛瑙,黄玛瑙,黄玛瑙圆珠,10mm,10,10,10,,3,,黄玛瑙圆珠.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,ST2004209
珠子,玛瑙,黄玛瑙,黄玛瑙圆珠,12mm,12,12,12,,4,,黄玛瑙圆珠.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,ST2004208
珠子,玛瑙,黄玛瑙,黄玛瑙圆珠,14mm,14,14,14,,6,,黄玛瑙圆珠.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,升职加薪",轻奢精致,ST2004205
珠子,玛瑙,黑玛瑙,黑玛瑙圆珠,6mm,6,6,6,,1,,黑玛瑙圆珠.png,黑,"鼠,摩羯","摩羯,天蝎","平安护佑,万事顺遂",极简百搭,P2007S1237
珠子,玛瑙,黑玛瑙,黑玛瑙圆珠,8mm,8,8,8,,2,,黑玛瑙圆珠.png,黑,"鼠,摩羯","摩羯,天蝎","平安护佑,万事顺遂",极简百搭,P2007S1238
珠子,玛瑙,黑玛瑙,黑玛瑙圆珠,10mm,10,10,10,,3,,黑玛瑙圆珠.png,黑,"鼠,摩羯","摩羯,天蝎","平安护佑,万事顺遂",极简百搭,P2007S1239
珠子,玛瑙,黑玛瑙,黑玛瑙圆珠,12mm,12,12,12,,4,,黑玛瑙圆珠.png,黑,"鼠,摩羯","摩羯,天蝎","平安护佑,万事顺遂",极简百搭,P2007S1240
珠子,玛瑙,黑玛瑙,黑玛瑙圆珠,14mm,14,14,14,,6,,黑玛瑙圆珠.png,黑,"鼠,摩羯","摩羯,天蝎","平安护佑,万事顺遂",极简百搭,P2007S1241
珠子,玛瑙,黑玛瑙,黑玛瑙圆珠,16mm,16,16,16,,8,,黑玛瑙圆珠.png,黑,"鼠,摩羯","摩羯,天蝎","平安护佑,万事顺遂",极简百搭,P2007S1241-2
珠子,玛瑙,黑玛瑙,黑玛瑙圆珠,18mm,18,18,18,,10,,黑玛瑙圆珠.png,黑,"鼠,摩羯","摩羯,天蝎","平安护佑,万事顺遂",极简百搭,P2007S1241-3
珠子,玛瑙,蓝玛瑙,蓝玛瑙圆珠,6mm,6,6,6,,1,,蓝玛瑙圆珠.png,蓝,"鼠,猪","水瓶,处女","睡个好觉,金榜题名",自然森系,ST2004247
珠子,玛瑙,蓝玛瑙,蓝玛瑙圆珠,8mm,8,8,8,,2,,蓝玛瑙圆珠.png,蓝,"鼠,猪","水瓶,处女","睡个好觉,金榜题名",自然森系,ST2004245
珠子,玛瑙,蓝玛瑙,蓝玛瑙圆珠,10mm,10,10,10,,3,,蓝玛瑙圆珠.png,蓝,"鼠,猪","水瓶,处女","睡个好觉,金榜题名",自然森系,ST2004246
珠子,玛瑙,蓝玛瑙,蓝玛瑙圆珠,12mm,12,12,12,,4,,蓝玛瑙圆珠.png,蓝,"鼠,猪","水瓶,处女","睡个好觉,金榜题名",自然森系,ST2004249
珠子,玛瑙,蓝玛瑙,蓝玛瑙圆珠,14mm,14,14,14,,6,,蓝玛瑙圆珠.png,蓝,"鼠,猪","水瓶,处女","睡个好觉,金榜题名",自然森系,ST2004250
珠子,玛瑙,灰玛瑙,灰玛瑙圆珠,6mm,6,6,6,,1,,灰玛瑙圆珠.png,灰,通用,通用,"万事顺遂,澄心净念",极简百搭,ST2004174
珠子,玛瑙,灰玛瑙,灰玛瑙圆珠,8mm,8,8,8,,2,,灰玛瑙圆珠.png,灰,通用,通用,"万事顺遂,澄心净念",极简百搭,ST2004175
珠子,玛瑙,灰玛瑙,灰玛瑙圆珠,10mm,10,10,10,,3,,灰玛瑙圆珠.png,灰,通用,通用,"万事顺遂,澄心净念",极简百搭,ST2004175-2
珠子,玛瑙,灰玛瑙,灰玛瑙圆珠,12mm,12,12,12,,4,,灰玛瑙圆珠.png,灰,通用,通用,"万事顺遂,澄心净念",极简百搭,ST2004176
珠子,玛瑙,灰玛瑙,灰玛瑙圆珠,14mm,14,14,14,,6,,灰玛瑙圆珠.png,灰,通用,通用,"万事顺遂,澄心净念",极简百搭,ST2004178
珠子,玛瑙,原色玛瑙,原色玛瑙圆珠,8mm,8,8,8,,2,,原色玛瑙圆珠.png,橙,通用,通用,"万事顺遂,体健安泰",自然森系,A2402S1017
珠子,玛瑙,樱桃红玛瑙,樱桃红玛瑙圆珠,6mm,6,6,6,,5,,樱桃红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,求桃花,少女甜美,P2402S1005
珠子,玛瑙,冰飘南红玛瑙,冰飘南红玛瑙圆珠,8mm,8,8,8,,10,,冰飘南红玛瑙圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,"发大财,万事顺遂",国风禅意,A261C9125
珠子,玛瑙,盐源玛瑙,盐源玛瑙圆珠,7mm,7,7,7,,6,,盐源玛瑙圆珠.png,橙,通用,通用,"万事顺遂,心想事成",自然森系,P2402S1021
珠子,玛瑙,南红玛瑙柿子红,6A南红玛瑙柿子红圆珠,7mm,7,7,7,,15,,6A南红玛瑙柿子红圆珠.png,红,"牛,龙,羊,狗,蛇,马",白羊,"发大财,平安护佑",国风禅意,P2402S1033-1
珠子,曜石,曜石,冰曜石,8mm,8,8,8,,2,,冰曜石.png,黑,鼠,"水瓶,双鱼","澄心净念,平安护佑",能量疗愈,A2312S1002
珠子,曜石,曜石,冰曜石,10mm,10,10,10,,4,,冰曜石.png,黑,鼠,"水瓶,双鱼","澄心净念,平安护佑",能量疗愈,ST2004211
珠子,曜石,曜石,冰曜石,12mm,12,12,12,,6,,冰曜石.png,黑,鼠,"水瓶,双鱼","澄心净念,平安护佑",能量疗愈,ST2004212
珠子,曜石,曜石,金曜石,8mm,8,8,8,,3,,金曜石.png,黑,"鼠,猴,鸡","水瓶,双子","发大财,平安护佑",能量疗愈,ST2004222
珠子,曜石,曜石,金曜石,10mm,10,10,10,,5,,金曜石.png,黑,"鼠,猴,鸡","水瓶,双子","发大财,平安护佑",能量疗愈,ST2004219
珠子,曜石,曜石,金曜石,12mm,12,12,12,,8,,金曜石.png,黑,"鼠,猴,鸡","水瓶,双子","发大财,平安护佑",能量疗愈,ST2004214
珠子,曜石,曜石,银曜石,8mm,8,8,8,,2,,银曜石.png,黑,"鼠,猴,鸡","水瓶,处女","金榜题名,平安护佑",能量疗愈,A261S5126
珠子,曜石,曜石,银曜石,10mm,10,10,10,,4,,银曜石.png,黑,"鼠,猴,鸡","水瓶,处女","金榜题名,平安护佑",能量疗愈,A261S5127
珠子,曜石,曜石,银曜石,12mm,12,12,12,,6,,银曜石.png,黑,"鼠,猴,鸡","水瓶,处女","金榜题名,平安护佑",能量疗愈,A261S5128
珠子,曜石,曜石,黑曜石,8mm,8,8,8,,1,,黑曜石.png,黑,"鼠,摩羯","天蝎,摩羯",平安护佑,极简百搭,ST2004041
珠子,曜石,曜石,黑曜石,10mm,10,10,10,,2,,黑曜石.png,黑,"鼠,摩羯","天蝎,摩羯",平安护佑,极简百搭,ST2004042
珠子,曜石,曜石,黑曜石,12mm,12,12,12,,3,,黑曜石.png,黑,"鼠,摩羯","天蝎,摩羯",平安护佑,极简百搭,ST2004042-2
珠子,半宝石,葡萄石,绿葡萄石,8mm,8,8,8,,8,,绿葡萄石.png,绿,"虎,兔","水瓶,双鱼","心想事成,睡个好觉",自然森系,A2405S9020
珠子,半宝石,葡萄石,绿葡萄石,10mm,10,10,10,,16,,绿葡萄石.png,绿,"虎,兔","水瓶,双鱼","心想事成,睡个好觉",自然森系,A261S9129
珠子,半宝石,葡萄石,绿葡萄石,12mm,12,12,12,,24,,绿葡萄石.png,绿,"虎,兔","水瓶,双鱼","心想事成,睡个好觉",自然森系,A261S9130
珠子,木质石,虎眼石,蓝虎眼,8mm,8,8,8,,6,,蓝虎眼.png,蓝,"鼠,猪","水瓶,摩羯","睡个好觉,金榜题名",自然森系,A261S6131
珠子,木质石,虎眼石,蓝虎眼,10mm,10,10,10,,12,,蓝虎眼.png,蓝,"鼠,猪","水瓶,摩羯","睡个好觉,金榜题名",自然森系,A261S6132
珠子,木质石,虎眼石,蓝虎眼,12mm,12,12,12,,18,,蓝虎眼.png,蓝,"鼠,猪","水瓶,摩羯","睡个好觉,金榜题名",自然森系,A261S6133
珠子,木质石,虎眼石,金虎眼,8mm,8,8,8,,5,,金虎眼.png,金,"猴,鸡,虎","双子,狮子","升职加薪,发大财",自然森系,A261S6134
珠子,木质石,虎眼石,金虎眼,10mm,10,10,10,,10,,金虎眼.png,金,"猴,鸡,虎","双子,狮子","升职加薪,发大财",自然森系,A261S6135
珠子,木质石,虎眼石,金虎眼,12mm,12,12,12,,15,,金虎眼.png,金,"猴,鸡,虎","双子,狮子","升职加薪,发大财",自然森系,A261S6136
珠子,木质石,虎眼石,黄虎眼,8mm,8,8,8,,3,,黄虎眼.png,金,"猴,鸡,虎","双子,狮子","升职加薪,发大财",自然森系,ST2004192
珠子,木质石,虎眼石,黄虎眼,10mm,10,10,10,,6,,黄虎眼.png,金,"猴,鸡,虎","双子,狮子","升职加薪,发大财",自然森系,ST2004189
珠子,木质石,虎眼石,黄虎眼,12mm,12,12,12,,9,,黄虎眼.png,金,"猴,鸡,虎","双子,狮子","升职加薪,发大财",自然森系,ST2004190
珠子,木质石,虎眼石,红虎眼,8mm,8,8,8,,3,,红虎眼.png,红,"蛇,马","白羊,天蝎","体健安泰,升职加薪",自然森系,ST2004260
珠子,木质石,虎眼石,红虎眼,10mm,10,10,10,,6,,红虎眼.png,红,"蛇,马","白羊,天蝎","体健安泰,升职加薪",自然森系,A261S6137
珠子,木质石,虎眼石,红虎眼,12mm,12,12,12,,9,,红虎眼.png,红,"蛇,马","白羊,天蝎","体健安泰,升职加薪",自然森系,A261S6138
珠子,半宝石,青金石,青金石,6mm,6,6,6,,2,,青金石.png,蓝,"鼠,猪","射手,处女","金榜题名,澄心净念",轻奢精致,A261P0139
珠子,半宝石,青金石,青金石,8mm,8,8,8,,4,,青金石.png,蓝,"鼠,猪","射手,处女","金榜题名,澄心净念",轻奢精致,ST2004231
珠子,半宝石,青金石,青金石,10mm,10,10,10,,6,,青金石.png,蓝,"鼠,猪","射手,处女","金榜题名,澄心净念",轻奢精致,A261P0140
珠子,半宝石,青金石,青金石,12mm,12,12,12,,8,,青金石.png,蓝,"鼠,猪","射手,处女","金榜题名,澄心净念",轻奢精致,A261P0141
珠子,半宝石,月光石,灰月光,6mm,6,6,6,,4,待确认（先随意写一个）,灰月光.png,灰,通用,"巨蟹,双鱼","睡个好觉,万事顺遂",能量疗愈,A261M1142
珠子,半宝石,月光石,灰月光,8mm,8,8,8,,8,待确认（先随意写一个）,灰月光.png,灰,通用,"巨蟹,双鱼","睡个好觉,万事顺遂",能量疗愈,A261M1143
珠子,半宝石,月光石,灰月光,10mm,10,10,10,,16,待确认（先随意写一个）,灰月光.png,灰,通用,"巨蟹,双鱼","睡个好觉,万事顺遂",能量疗愈,A261M1144
珠子,半宝石,月光石,灰月光,12mm,12,12,12,,24,待确认（先随意写一个）,灰月光.png,灰,通用,"巨蟹,双鱼","睡个好觉,万事顺遂",能量疗愈,A261M1145
珠子,半宝石,月光石,白月光,8mm,8,8,8,,8,待确认（先随意写一个）,白月光.png,白,通用,"巨蟹,双鱼","睡个好觉,求桃花",少女甜美,P2007S9208
珠子,半宝石,月光石,白月光,10mm,10,10,10,,16,待确认（先随意写一个）,白月光.png,白,通用,"巨蟹,双鱼","睡个好觉,求桃花",少女甜美,P2007S9209
珠子,半宝石,月光石,白月光,12mm,12,12,12,,24,待确认（先随意写一个）,白月光.png,白,通用,"巨蟹,双鱼","睡个好觉,求桃花",少女甜美,A261M0146
珠子,半宝石,月光石,粉月光,8mm,8,8,8,,8,待确认（先随意写一个）,粉月光.png,粉,"蛇,马","金牛,天秤","求桃花,睡个好觉",少女甜美,A261M2147
珠子,半宝石,月光石,粉月光,10mm,10,10,10,,16,待确认（先随意写一个）,粉月光.png,粉,"蛇,马","金牛,天秤","求桃花,睡个好觉",少女甜美,A261M2148
珠子,半宝石,月光石,粉月光,12mm,12,12,12,,24,待确认（先随意写一个）,粉月光.png,粉,"蛇,马","金牛,天秤","求桃花,睡个好觉",少女甜美,A261M2149
珠子,半宝石,石榴石,酒红石榴石,5mm,5,5,5,,4,,酒红石榴石.png,红,"蛇,马","白羊,天蝎","体健安泰,求桃花",轻奢精致,A261G0155
珠子,半宝石,石榴石,酒红石榴石,6mm,6,6,6,,6,,酒红石榴石.png,红,"蛇,马","白羊,天蝎","体健安泰,求桃花",轻奢精致,A261G0156
珠子,半宝石,石榴石,酒红石榴石,7mm,7,7,7,,9,,酒红石榴石.png,红,"蛇,马","白羊,天蝎","体健安泰,求桃花",轻奢精致,A261G0157
珠子,半宝石,石榴石,酒红石榴石,8mm,8,8,8,,10,,酒红石榴石.png,红,"蛇,马","白羊,天蝎","体健安泰,求桃花",轻奢精致,A261G0158
珠子,半宝石,石榴石,橙红石榴石,5mm,5,5,5,,5,,橙红石榴石.png,橙,"蛇,马","白羊,天蝎","体健安泰,升职加薪",轻奢精致,A261G2160
珠子,半宝石,石榴石,橙红石榴石,6mm,6,6,6,,7,,橙红石榴石.png,橙,"蛇,马","白羊,天蝎","体健安泰,升职加薪",轻奢精致,A261G2161
珠子,半宝石,石榴石,橙红石榴石,7mm,7,7,7,,11,,橙红石榴石.png,橙,"蛇,马","白羊,天蝎","体健安泰,升职加薪",轻奢精致,A261G2162
珠子,半宝石,石榴石,橙红石榴石,8mm,8,8,8,,15,,橙红石榴石.png,橙,"蛇,马","白羊,天蝎","体健安泰,升职加薪",轻奢精致,A261G2163
珠子,半宝石,石榴石,沙弗莱石苹果绿,8mm,8,8,8,,25,,沙弗莱石苹果绿.png,绿,"虎,兔","金牛,水瓶","发大财,心想事成",轻奢精致,A2405S9030
珠子,半宝石,石榴石,沙弗莱石苹果绿,9mm,9,9,9,,40,,沙弗莱石苹果绿.png,绿,"虎,兔","金牛,水瓶","发大财,心想事成",轻奢精致,A261S9165
珠子,半宝石,海蓝宝,5A海蓝宝,8mm,8,8,8,,10,,5A海蓝宝.png,蓝,"鼠,猪","水瓶,双鱼","睡个好觉,澄心净念",轻奢精致,A2405S9050
珠子,半宝石,蜜蜡,鸡油黄蜜蜡,6mm,6,6,6,,10,,鸡油黄蜜蜡.png,黄,"猴,鸡,虎,兔","双子,狮子","发大财,万事顺遂",自然森系,P2402S9001
珠子,玉类,和田玉,晴水和田玉,6mm,6,6,6,,10,,晴水和田玉.png,绿,通用,通用,"万事顺遂,澄心净念",国风禅意,A2402S9028
珠子,玉类,和田玉,晴水和田玉,8mm,8,8,8,,25,,晴水和田玉.png,绿,通用,通用,"万事顺遂,澄心净念",国风禅意,A2402S9024
珠子,玉类,和田玉,晴水和田玉,10mm,10,10,10,,50,,晴水和田玉.png,绿,通用,通用,"万事顺遂,澄心净念",国风禅意,A261S9166
珠子,玉类,和田玉,和田碧玉,6mm,6,6,6,,10,,和田碧玉.png,绿,通用,通用,"万事顺遂,体健安泰",国风禅意,A261S9167
